"id","name","type","typeLabel","country","city","lat","lng","originPrecision","firstSeen","scope","tags","knownFor","attribution","sourceLabel"
"bianlian","BianLian","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2022","Global","data extortion; healthcare targeting","Running ransomware and later primarily data-extortion campaigns against organizations across critical infrastructure and professional services sectors.","CISA, FBI, and partner agencies assess BianLian is likely based in Russia and operates with Russia-based affiliates.","CISA / FBI / ACSC, Nov 2024"
"blackbyte","BlackByte, Hecamede","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2021","Global","RaaS; critical infrastructure targeting","Operating a ransomware program that gained attention for attacks on critical infrastructure and for quickly iterating its malware after public decryptors appeared.","MITRE ATT&CK tracks BlackByte as a prominent ransomware actor; public reporting frequently treats the operation as Russian-speaking or Russia-linked, and the atlas reflects that as a country-level inference rather than a settled legal finding.","MITRE ATT&CK / public reporting"
"business-club","Business Club, GameOver Zeus, GOLD EVERGREEN","financial-fraud","Financial Fraud","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2007","Global","bank fraud; botnet operations; wire theft","Stealing banking credentials at massive scale through Zeus variants and using infected systems to enable large international wire-fraud operations.","DOJ and FBI reporting tied GameOver Zeus to Evgeniy Bogachev and a gang of cyber criminals based in Russia and Ukraine; this atlas uses Russia as the primary country-level origin for a simplified map pin.","DOJ / FBI, 2014-2015"
"cert-cc","CERT Coordination Center, CERT/CC","white-hat","White Hat","United States","Pittsburgh","40.4406","-79.9959","City-level attribution from public reporting","1988","Global","incident coordination; vulnerability disclosure","Coordinating vulnerability disclosure, publishing security research, and developing methods and tools that improve software and network resilience.","The CERT/CC identifies itself as part of Carnegie Mellon's Software Engineering Institute, and its public organization materials locate it in Pittsburgh, Pennsylvania.","CERT/CC / SEI"
"cert-br","CERT.br","white-hat","White Hat","Brazil","Sao Paulo","-23.5558","-46.6396","City-level attribution from public reporting","1997","Regional","national CSIRT; incident coordination; Brazil","Coordinating national incident response in Brazil while publishing statistics, running sensor projects, and supporting community knowledge transfer.","CERT.br describes itself as Brazil's national CSIRT of last resort maintained by NIC.br; the atlas uses Sao Paulo as the organization origin point.","CERT.br official site"
"cisa","CISA, Cybersecurity and Infrastructure Security Agency","white-hat","White Hat","United States","Washington, DC","38.9072","-77.0369","Country-level attribution pinned to capital","2018","National","critical infrastructure; advisories","Publishing joint advisories, incident guidance, and defensive resources for critical infrastructure owners, governments, and private-sector defenders.","CISA is the U.S. Cybersecurity and Infrastructure Security Agency; the pin uses the agency's official Washington, DC main address for map readability.","CISA / USAGov"
"cisco-talos","Cisco Talos","white-hat","White Hat","United States","San Jose","37.3382","-121.8863","City-level attribution from public reporting","2014","Global","threat intelligence; incident response; malware research","Providing some of the most widely cited public malware analysis, incident response research, and defensive threat intelligence in the industry.","Cisco describes Talos as its threat intelligence team; the pin uses Cisco's official San Jose headquarters as the organization origin.","Cisco official site"
"cosmic-lynx","Cosmic Lynx","financial-fraud","Financial Fraud","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2019","Global","BEC; invoice fraud; M&A pretexting","Running high-value business email compromise schemes that impersonate executives and outside counsel to trigger fraudulent payments.","Agari's threat dossier describes Cosmic Lynx as a Russia-based BEC cybercriminal organization targeting large multinational companies.","Agari / Fortra, Jul 2020"
"crowdstrike-intelligence","CrowdStrike Intelligence, Falcon Adversary Intelligence","white-hat","White Hat","United States","Austin","30.2672","-97.7431","City-level attribution from public reporting","2018","Global","adversary profiles; threat intelligence; research","Maintaining one of the most visible public actor-naming and adversary-profiling systems used across the security industry.","CrowdStrike markets Falcon Adversary Intelligence as part of its threat intelligence platform, and recent official releases identify Austin, Texas as the company headquarters location used here.","CrowdStrike official site"
"cyberav3ngers","CyberAv3ngers, Soldiers of Solomon","hacktivist","Hacktivist","Iran","Tehran","35.6892","51.389","Country-level attribution pinned to capital","2020","Global","PLC defacement; IRGC-linked","Claiming and conducting disruptive operations against industrial control environments, especially Unitronics PLC and HMI targets.","MITRE ATT&CK tracks CyberAv3ngers as a suspected Iranian IRGC-affiliated group active in politically motivated disruption campaigns.","MITRE ATT&CK / CISA"
"danabot","DanaBot Organization, DanaBot operators","banking-theft","Banking Theft","Russia","Novosibirsk","55.0084","82.9357","City-level attribution from public reporting","2018","Global","banking trojan; fraud infrastructure","Operating malware that infected hundreds of thousands of machines and enabled fraud, credential theft, and ransomware delivery.","The 2025 U.S. indictment describes DanaBot as controlled by a Russia-based cybercrime organization and names operators from Novosibirsk.","DOJ, May 2025"
"enisa","ENISA, European Union Agency for Cybersecurity","white-hat","White Hat","Greece","Heraklion","35.3387","25.1442","City-level attribution from public reporting","2004","Regional","EU cybersecurity; policy; capacity building","Supporting European cyber resilience through threat landscape work, policy support, exercises, and capacity-building for member states and EU institutions.","ENISA identifies itself as the European Union Agency for Cybersecurity, and official ENISA materials describe Heraklion, Crete as the agency seat used here.","ENISA official site"
"eset-research","ESET Research","white-hat","White Hat","Slovakia","Bratislava","48.1486","17.1077","City-level attribution from public reporting","2015","Global","malware research; disruption support; threat intelligence","Publishing influential technical research and frequently participating in multinational disruption efforts against malware and financial crime operations.","ESET identifies Bratislava as its headquarters, and the atlas uses that location for ESET Research as the company’s research organization origin.","ESET official site"
"evil-corp","Evil Corp, Indrik Spider, Manatee Tempest, DEV-0243, UNC2165, Dridex crew","banking-theft","Banking Theft","Russia","Moscow","55.7558","37.6173","City-level attribution from public reporting","2009","Global","Dridex; BitPaymer; WastedLocker","Large-scale credential theft, bank fraud, and later ransomware and extortion activity tied to the Dridex, BitPaymer, WastedLocker, and Hades ecosystems.","U.S. Treasury and MITRE ATT&CK reporting describe Evil Corp, also tracked as Indrik Spider, as a Russia-based cybercriminal organization operating from Moscow and evolving from banking malware into major ransomware operations.","U.S. Treasury / MITRE ATT&CK"
"fin5","FIN5","carding","Carding","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2008","Global","card theft; PII theft; hospitality targeting","Stealing payment card and personal data from hospitality, gaming, and retail-adjacent targets as part of a long-running financially motivated intrusion program.","MITRE ATT&CK describes FIN5 as a financially motivated group whose operators likely speak Russian; the atlas represents that recurring public attribution trend with a country-level Russia pin.","MITRE ATT&CK, updated Apr 2025"
"fin6","FIN6, Skeleton Spider, Magecart Group 6, Camouflage Tempest","carding","Carding","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2012","Global","POS theft; carding; retail targeting","Specializing in payment-card theft and monetization, especially through PoS compromises and follow-on underground sales of stolen data.","MITRE ATT&CK tracks FIN6 as a major cybercrime group; open reporting often places its ecosystem in the Russian-speaking cybercrime scene, which this atlas reflects as a cautious country-level Russia inference.","MITRE ATT&CK / public reporting"
"fin7","FIN7, Carbon Spider, GOLD NIAGARA, Carbanak-linked","carding","Carding","Ukraine","Kyiv","50.4501","30.5234","Country-level attribution pinned to capital","2013","Global","POS intrusions; front company","Stealing payment-card data from retail and hospitality targets before expanding into big-game hunting ransomware operations.","MITRE tracks FIN7 as financially motivated and says part of the group operated through the Combi Security front company; DOJ cases charged multiple Ukrainian nationals.","MITRE ATT&CK / DOJ"
"first","FIRST, Forum of Incident Response and Security Teams","white-hat","White Hat","United States","Cary","35.7915","-78.7811","City-level attribution from public reporting","1990","Global","CSIRT network; incident response community","Connecting incident response and security teams worldwide through standards, training, trust-building, and cross-team operational coordination.","FIRST is a global incident response membership organization and lists its mailing address in Cary, North Carolina.","FIRST official site"
"gamaredon-group","Gamaredon Group, Shuckworm, Primitive Bear, Armageddon, ACTINIUM, DEV-0157, Aqua Blizzard","state-linked-theft","State-linked Theft","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2013","Regional","Eastern Europe; espionage; Ukraine targeting","Conducting high-volume, persistent espionage operations against military, law enforcement, and civil-society targets in Ukraine through fast-iterating malware and lures.","MITRE ATT&CK and public Ukrainian government attribution describe Gamaredon Group as a suspected Russian espionage actor later publicly tied to the FSB.","MITRE ATT&CK, updated Oct 2025"
"gold-barondale","GOLD BARONDALE","access-brokerage","Access Brokerage","China","Beijing","39.9042","116.4074","Country-level attribution pinned to capital","2022","Global","opportunistic exploitation; initial access","Compromising internet-facing systems at scale and monetizing intrusions after opportunistic scanning and exploitation.","Secureworks assesses with moderate confidence that GOLD BARONDALE is based in China.","Secureworks CTU"
"gold-galleon","GOLD GALLEON","bec-fraud","BEC / Fraud","Nigeria","Abuja","9.0765","7.3986","Country-level attribution pinned to capital","2017","Global","maritime BEC; credential theft","Running BEC schemes against shipping and maritime organizations, often intercepting invoices and payment instructions.","Secureworks assesses with high confidence that GOLD GALLEON is based in Nigeria.","Secureworks CTU, Apr 2018 / profile"
"gold-parakeet","GOLD PARAKEET, NetWalker operators","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2019","Global","NetWalker; RaaS; double extortion","Operating the NetWalker ransomware program and evolving it into a ransomware-as-a-service model with large-scale data-theft extortion.","Secureworks attributes GOLD PARAKEET to Russian cyber threat actors with moderate confidence; the atlas keeps that wording cautious and uses a country-level Russia pin.","Secureworks CTU"
"gold-skyline","GOLD SKYLINE, Wire-Wire Group 1","bec-fraud","BEC / Fraud","Nigeria","Abuja","9.0765","7.3986","Country-level attribution pinned to capital","2016","Global","BEC; wire fraud","Stealing high-value wire transfers through business email compromise, spoofing, and social engineering.","Secureworks describes GOLD SKYLINE as a financially motivated group operating from Nigeria.","Secureworks CTU"
"gold-symphony","GOLD SYMPHONY","access-brokerage","Access Brokerage","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2019","Global","Buer Loader; malware-as-a-service","Developing and selling the Buer Loader malware-as-a-service ecosystem used to deliver follow-on payloads for financially motivated intrusions.","Secureworks assesses with high confidence that GOLD SYMPHONY is likely based in Russia, which this atlas represents with a country-level Moscow pin.","Secureworks CTU"
"gold-waterfall","GOLD WATERFALL, DarkSide operators, BlackMatter operators","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2020","Global","RaaS; double extortion; Russian-language","Creating and operating the DarkSide and BlackMatter ransomware families, including high-profile extortion campaigns against critical enterprises.","Secureworks says GOLD WATERFALL advertises in Russian, requires affiliates to speak Russian, and excludes Russia and nearby allies from targeting; the atlas maps that activity to Russia at country level.","Secureworks CTU"
"google-threat-intelligence","Google Threat Intelligence","white-hat","White Hat","United States","Mountain View","37.3861","-122.0839","City-level attribution from public reporting","2024","Global","threat intelligence; zero-days; research","Publishing prominent frontline reporting on state and criminal actors, zero-day exploitation trends, and threat activity affecting global enterprises and governments.","Google Cloud currently markets this work under the Google Threat Intelligence brand, with GTIG research and Mandiant intelligence offerings presented inside that umbrella; the pin uses Google's official Mountain View headquarters as the organization origin.","Google Cloud"
"gorgon-group","Gorgon Group","hybrid","Hybrid","Pakistan","Islamabad","33.6844","73.0479","Country-level attribution pinned to capital","2018","Regional","criminal + targeted; phishing","Running mixed campaigns that blend financially motivated intrusions with more targeted operations against government and business victims.","MITRE ATT&CK assesses the group as Pakistan-based or otherwise connected to Pakistan.","MITRE ATT&CK, updated Apr 2025"
"grandoreiro","Grandoreiro, Grandoreiro operation","banking-theft","Banking Theft","Brazil","Brasilia","-15.7939","-47.8828","Country-level attribution pinned to capital","2017","Regional","banking trojan; phishing","Targeting banks in Latin America and Europe with malware that supports manual fraud, screen blocking, and operator-driven theft.","ESET and Brazil’s Federal Police publicly tied the operation to Brazilian operators during the 2024 disruption effort.","ESET / Brazil Federal Police"
"guildma","Guildma, Astaroth-linked family","banking-theft","Banking Theft","Brazil","Brasilia","-15.7939","-47.8828","Country-level attribution pinned to capital","2015","Regional","banking trojan; credential theft","Stealing banking and account credentials at high volume in Brazil and across Latin America through email-delivered malware.","ESET identifies Guildma as one of the most impactful Latin American banking trojans and reports concentrated activity against Brazil.","ESET, Mar 2020"
"huntress","Huntress","white-hat","White Hat","United States","Columbia","39.2037","-76.861","City-level attribution from public reporting","2015","Global","managed detection; threat hunting; community reporting","Combining managed detection with rapid public writeups and incident guidance aimed especially at organizations without large internal security teams.","Huntress official releases identify the company with Columbia, Maryland, which this atlas uses as the organization origin point.","Huntress official site"
"hydra-market","Hydra Market, Hydra","darknet-market","Darknet Market","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2015","Regional","darknet marketplace; criminal services","Serving Russian-speaking criminal users with illicit goods, stolen data, money-laundering services, and hacking tools.","The DOJ described Hydra as the largest darknet market at the time of its 2022 seizure and linked it to a Russian resident.","DOJ, Apr 2022"
"insikt-group","Insikt Group","white-hat","White Hat","United States","Somerville","42.3876","-71.0995","City-level attribution from public reporting","2019","Global","threat research; OSINT; intelligence reports","Producing widely cited intelligence on cybercriminal ecosystems, state activity, vulnerabilities, and geopolitical risk through Recorded Future.","Recorded Future describes Insikt Group as its premier intelligence team and lists a Somerville, Massachusetts office on its official contact page.","Recorded Future"
"jpcert-cc","JPCERT/CC","white-hat","White Hat","Japan","Tokyo","35.6762","139.6503","City-level attribution from public reporting","1996","Regional","CSIRT; coordination; Asia Pacific","Serving as Japan's long-running incident coordination center and playing a central role in regional CSIRT collaboration, vulnerability handling, and threat analysis.","JPCERT/CC identifies itself as Japan's first CSIRT and lists its office address in Tokyo, which the atlas uses as its organization origin.","JPCERT/CC official site"
"lapsus","LAPSUS$, DEV-0537, Strawberry Tempest","hybrid","Hybrid","Brazil","Brasilia","-15.7939","-47.8828","Country-level attribution pinned to capital","2021","Global","extortion; social engineering; data theft","Using aggressive social engineering, insider recruitment, SIM swapping, and public leak tactics to hit globally recognized technology and telecom targets.","Public reporting and arrests have linked prominent LAPSUS$ members to Brazil and the UK; this atlas uses Brazil as the strongest country-level origin inference and pins to Brasilia for consistency.","MITRE ATT&CK / public reporting"
"lazarus-group","Lazarus Group, HIDDEN COBRA, Diamond Sleet, ZINC","state-linked-theft","State-linked Theft","North Korea","Pyongyang","39.0392","125.7625","Country-level attribution pinned to capital","2009","Global","crypto theft; state-backed","Conducting destructive attacks, espionage, and high-value cryptocurrency theft campaigns attributed to North Korea.","MITRE ATT&CK tracks Lazarus as a North Korean state-sponsored group tied to the Reconnaissance General Bureau.","MITRE ATT&CK"
"lockbit","LockBit, LockBitSupp, GOLD MYSTIC","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2019","Global","RaaS; double extortion","Operating one of the most prolific ransomware-as-a-service programs on record, with thousands of victims across more than 100 countries.","U.S. prosecutors identified Russian national Dmitry Khoroshev as LockBit’s alleged developer and administrator in 2024.","DOJ, May 2024"
"lulzsec","LulzSec, Lulz Security","hacktivist","Hacktivist","No fixed origin","Decentralized","","","No fixed origin / decentralized collective","2011","Global","decentralized; hacktivism; splinter collective","Carrying out a fast, high-profile run of disruptive hacks, leaks, and humiliating breaches against media, gaming, government, and security targets during 2011.","Public reporting describes LulzSec as a short-lived hacking collective and an offshoot of the broader Anonymous ecosystem, with members in multiple countries rather than a stable shared origin.","Wired / public reporting"
"machete","Machete, APT-C-43, El Machete","state-linked-theft","State-linked Theft","Venezuela","Caracas","10.4806","-66.9036","Country-level attribution pinned to capital","2010","Regional","Latin America; espionage; government targeting","Conducting sustained Spanish-language espionage against governments, military organizations, and telecom and power-sector targets across Latin America.","MITRE ATT&CK describes Machete as a suspected Spanish-speaking espionage group with a particular emphasis on Venezuela, which this atlas uses as a country-level origin inference.","MITRE ATT&CK, updated Apr 2025"
"malteiro","Malteiro","banking-theft","Banking Theft","Brazil","Brasilia","-15.7939","-47.8828","Country-level attribution pinned to capital","2019","Regional","MaaS; Mispadu","Operating a Malware-as-a-Service model around the Mispadu banking trojan for fraud and credential theft across Latin America and Europe.","MITRE ATT&CK describes Malteiro as a financially motivated criminal group that is likely based in Brazil.","MITRE ATT&CK, Mar 2024"
"mario-kart","Mario Kart, TA551, Shathak, GOLD CABIN","access-brokerage","Access Brokerage","Russia","Tolyatti","53.5078","49.4204","City-level attribution from public reporting","2017","Global","botnet sales; spam delivery","Building a spam-delivered botnet and selling access to other actors who used that access for ransomware extortion.","DOJ described Mario Kart as a Russia-based cybercriminal group and tied a co-manager to Tolyatti, Russia.","DOJ, Mar 2026"
"medusa-group","Medusa Group, Spearwing, Medusa Actors","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2021","Global","RaaS; double extortion","Operating a rapidly growing ransomware program that blends credential theft, exploit-driven access, and double extortion against critical-sector victims.","MITRE ATT&CK documents Medusa Group as a major ransomware actor; because public reporting on origin is mixed, this atlas uses a cautious Russia/CIS-oriented country inference commonly reflected in vendor reporting.","MITRE ATT&CK / public reporting"
"microsoft-threat-intelligence","Microsoft Threat Intelligence Center","white-hat","White Hat","United States","Redmond","47.674","-122.1215","City-level attribution from public reporting","2022","Global","threat intelligence; disruption; research","Publishing widely used actor tracking, malware analysis, disruption reporting, and intelligence-led guidance consumed across the security industry.","Microsoft describes its threat analysis and threat intelligence work as part of its security operations; the pin uses Microsoft's official Redmond headquarters as the organization origin.","Microsoft official site"
"moneytaker","MoneyTaker","financial-fraud","Financial Fraud","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2016","Global","SWIFT theft; card processing; bank intrusions","Targeting banks, card-processing systems, and interbank transfer infrastructure to steal funds and operational documentation for follow-on attacks.","Group-IB described MoneyTaker as a Russian-speaking targeted attack group; this atlas simplifies that reporting to a country-level Russia origin pin for map readability.","Group-IB, Dec 2017"
"moonstone-sleet","Moonstone Sleet, Storm-1789","hybrid","Hybrid","North Korea","Pyongyang","39.0392","125.7625","Country-level attribution pinned to capital","2023","Global","espionage + extortion; fake companies","Combining espionage tradecraft with financially motivated operations, including social engineering, trojanized software, and ransomware deployment.","MITRE ATT&CK tracks Moonstone Sleet as a North Korean-linked threat actor executing both financially motivated attacks and espionage operations.","MITRE ATT&CK, Oct 2024"
"moses-staff","Moses Staff, DEV-0500, Marigold Sandstorm","hacktivist","Hacktivist","Iran","Tehran","35.6892","51.389","Country-level attribution pinned to capital","2021","Regional","wiper-like attacks; leak-and-damage","Combining data leaks, destructive encryption, and politically motivated attacks without following a conventional ransom model.","MITRE ATT&CK identifies Moses Staff as a suspected Iranian threat group whose operations are assessed as politically motivated.","MITRE ATT&CK, updated Apr 2024"
"muddywater","MuddyWater, Earth Vetala, MERCURY, Static Kitten, Seedworm, TEMP.Zagros, Mango Sandstorm, TA450","state-linked-theft","State-linked Theft","Iran","Tehran","35.6892","51.389","Country-level attribution pinned to capital","2017","Regional","Middle East; espionage; MOIS-linked","Using broad phishing and PowerShell-heavy intrusion tradecraft against government, telecom, defense, and energy-sector organizations across the Middle East and beyond.","MITRE ATT&CK assesses MuddyWater to be a subordinate element within Iran's Ministry of Intelligence and Security, and the atlas maps that activity to Tehran at country level.","MITRE ATT&CK, updated Oct 2025"
"mustard-tempest","Mustard Tempest, DEV-0206, TA569, GOLD PRELUDE, UNC1543","access-brokerage","Access Brokerage","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2017","Global","SocGholish; IAB; fake updates","Operating the SocGholish ecosystem and brokering access into victim environments that later fed major ransomware and follow-on intrusion operations.","MITRE ATT&CK identifies Mustard Tempest as an initial access broker; open reporting commonly places it in the Russian-speaking cybercrime ecosystem, which this atlas represents as a country-level Russia inference.","MITRE ATT&CK / public reporting"
"nemesis-market","Nemesis Market, Nemesis","darknet-market","Darknet Market","Iran","Tehran","35.6892","51.389","City-level attribution from public reporting","2021","Global","dark web; criminal services","Selling illegal drugs and cybercrime services such as stolen data, fake documents, counterfeit currency, and malware.","DOJ charged the marketplace’s founder and operator as a Tehran-based Iranian national in 2025.","DOJ, Apr 2025"
"oilrig","OilRig, APT34, COBALT GYPSY, Helix Kitten, Hazel Sandstorm, EUROPIUM, TA452","state-linked-theft","State-linked Theft","Iran","Tehran","35.6892","51.389","Country-level attribution pinned to capital","2014","Regional","Middle East; espionage; supply chain","Targeting government, financial, telecom, and energy-sector organizations in the Middle East with phishing, credential theft, and supply-chain compromise activity.","MITRE ATT&CK describes OilRig as a suspected Iranian threat group operating on behalf of the Iranian government, which this atlas maps to Tehran at country level.","MITRE ATT&CK, updated Jan 2025"
"owasp","OWASP Foundation","white-hat","White Hat","United States","Wilmington","39.7391","-75.5398","City-level attribution from public reporting","2001","Global","open source; application security","Maintaining open security standards, tools, and educational resources such as the OWASP Top 10 and ASVS for secure software development.","OWASP describes itself as a nonprofit foundation improving software security and lists a physical office address in Wilmington, Delaware.","OWASP Foundation"
"patchwork","Patchwork, Hangover Group, Dropping Elephant, Chinastrats, MONSOON, Operation Hangover","state-linked-theft","State-linked Theft","India","New Delhi","28.6139","77.209","Country-level attribution pinned to capital","2015","Regional","South Asia; espionage; government targeting","Targeting diplomatic and government-linked organizations through regional espionage campaigns that reuse and adapt a broad mix of publicly available tooling.","MITRE ATT&CK says Patchwork has not been definitively attributed but that circumstantial evidence suggests the group may be a pro-Indian or Indian entity; the atlas uses India as a cautious country-level origin inference.","MITRE ATT&CK, updated Oct 2025"
"play","Play, PlayCrypt, Balloonfly","ransomware","Ransomware","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2022","Global","closed group; double extortion","Running fast-moving enterprise ransomware and extortion campaigns that have hit business, government, healthcare, and critical infrastructure targets.","MITRE ATT&CK tracks Play as a major ransomware group; when origin is described in open reporting it is often discussed as Russia- or CIS-linked, which this atlas treats as a cautious country-level inference.","MITRE ATT&CK / public reporting"
"project-zero","Project Zero","white-hat","White Hat","United States","Mountain View","37.3861","-122.0839","City-level attribution from public reporting","2014","Global","zero-day research; responsible disclosure","Researching high-impact vulnerabilities and publishing detailed analysis intended to improve the safety and security of widely used hardware and software.","Project Zero describes itself as Google's team of security researchers focused on zero-day vulnerabilities; the pin uses Google's official Mountain View global headquarters as the organization origin.","Project Zero / Google"
"rapid7-labs","Rapid7 Labs","white-hat","White Hat","United States","Boston","42.3601","-71.0589","City-level attribution from public reporting","2014","Global","internet telemetry; threat research; open data","Sharing trusted open-source research, internet-scale exposure findings, and threat landscape reporting through projects like Sonar and Lorelei.","Rapid7 presents Rapid7 Labs as its cybersecurity research arm, and official company materials describe Rapid7 as Boston-headquartered.","Rapid7 official site"
"sandworm","Sandworm Team, Voodoo Bear, Seashell Blizzard, IRIDIUM","state-linked-theft","State-linked Theft","Russia","Moscow","55.7558","37.6173","Country-level attribution pinned to capital","2009","Global","destructive ops; critical infrastructure","Launching some of the world’s most notorious disruptive and destructive cyber operations, including activity tied to attacks on critical infrastructure and wiper campaigns.","MITRE ATT&CK tracks Sandworm Team as a Russian state-sponsored threat group associated with the GRU; the map uses a country-level Russia attribution pinned to Moscow.","MITRE ATT&CK, updated Apr 2025"
"secureworks-ctu","Secureworks CTU, Counter Threat Unit","white-hat","White Hat","United States","Atlanta","33.749","-84.388","City-level attribution from public reporting","2010","Global","threat intelligence; incident response; research","Tracking hundreds of threat groups and publishing durable naming, attribution, and intrusion-analysis work through its Counter Threat Unit research team.","Secureworks describes CTU as its dedicated threat research team, and longstanding official materials identify the company with Atlanta, Georgia.","Secureworks official site"
